,horizon,mse,rmse,mae,mape,coverage
1170,306 days 00:00:00.000000000,292.86964927182606,17.113434759621637,15.305359289032197,0.3844065211143621,0.13392857142857142
532,306 days 00:00:00.000000000,293.1911709599109,17.122826021422718,15.318084548048132,0.3848196277148969,0.13392857142857142
209,306 days 00:00:00.000000000,293.81308606444014,17.140976811851772,15.346639772676903,0.3855804862850705,0.13392857142857142
849,306 days 00:00:00.000000000,294.63865611199213,17.16504168687021,15.388427945013632,0.3866369069770231,0.12946428571428573
533,307 days 00:00:00.000000000,293.5825050247287,17.13424947363405,15.356958074068993,0.3855100629716665,0.12946428571428573
850,307 days 00:00:00.000000000,294.18774394248095,17.15190205028238,15.378754099217117,0.38586242429429035,0.12946428571428573
210,307 days 00:00:00.000000000,294.5494857956163,17.16244405076434,15.392571728742707,0.38659873890447016,0.12946428571428573
1171,307 days 00:00:00.000000000,298.74151107956175,17.284140449543962,15.500896001624142,0.38946835477033837,0.125
2135,308 days 00:00:00.000000000,297.4102826446241,17.245587338349022,15.472800851627962,0.38812670463544435,0.125
211,308 days 00:00:00.000000000,297.83704083735563,17.257955870767418,15.487891399084958,0.3883824775641807,0.125
534,308 days 00:00:00.000000000,296.7969661626738,17.227796323461508,15.457089679852897,0.3872606039417591,0.125
2136,309 days 00:00:00.000000000,295.34072427094543,17.185480041911703,15.426185294337277,0.38587001869498316,0.125
1813,309 days 00:00:00.000000000,295.8321231778977,17.199771021089138,15.452372399498374,0.38635272236003637,0.12053571428571429
1493,309 days 00:00:00.000000000,297.02717977105516,17.234476486712765,15.490552444322223,0.38767449610428145,0.12053571428571429
212,309 days 00:00:00.000000000,297.8253238838679,17.25761640215322,15.532425410875874,0.388963043550651,0.11607142857142858
535,309 days 00:00:00.000000000,296.81442432263117,17.228303001823225,15.502934185767458,0.38785075536830427,0.11607142857142858
1814,310 days 00:00:00.000000000,293.909145285948,17.143778617502853,15.43111964692898,0.385827983947683,0.11607142857142858
2137,310 days 00:00:00.000000000,295.6005525733996,17.193037909962264,15.502045385976244,0.38699787290954063,0.11160714285714286
213,310 days 00:00:00.000000000,294.5420137732616,17.16222636411901,15.47061826679652,0.3861591427852592,0.11160714285714286
1494,310 days 00:00:00.000000000,295.7079202172576,17.196160042790297,15.515725124609364,0.38717174902710916,0.11160714285714286
1172,310 days 00:00:00.000000000,299.0178736637093,17.292133288397626,15.590978751958817,0.3888777082839661,0.11160714285714286
851,311 days 00:00:00.000000000,298.4507532245802,17.27572728496778,15.575543917328437,0.38833202952198626,0.11160714285714286
2138,311 days 00:00:00.000000000,300.168906684582,17.32538330556014,15.640502605219565,0.389335593179749,0.10714285714285714
1815,311 days 00:00:00.000000000,297.5151117533608,17.248626372942304,15.574095800357611,0.3875025180927845,0.10714285714285714
1173,311 days 00:00:00.000000000,301.2669982481019,17.357044628856087,15.67413075637629,0.3898382445032976,0.10714285714285714
1495,311 days 00:00:00.000000000,302.8165208708807,17.40162408716154,15.731072946460838,0.3912491067808982,0.10714285714285714
1496,312 days 00:00:00.000000000,301.44264378144027,17.362103668088157,15.702901076393491,0.3908109485357415,0.10714285714285714
1174,312 days 00:00:00.000000000,304.9791352725994,17.463651830948745,15.78659786279161,0.39316609998629054,0.10714285714285714
1816,312 days 00:00:00.000000000,305.32649770926724,17.473594298519902,15.801085294420188,0.39332070628610716,0.10714285714285714
536,312 days 00:00:00.000000000,305.4085811615115,17.475942926248972,15.80416788139535,0.39308032021336964,0.10714285714285714
852,312 days 00:00:00.000000000,306.32524073362674,17.502149603223792,15.844296289023166,0.39396261256155946,0.10714285714285714
537,313 days 00:00:00.000000000,306.5359085907867,17.50816691120994,15.852790772682527,0.39429941676530894,0.10714285714285714
1175,313 days 00:00:00.000000000,310.3134530385492,17.61571608077711,15.95830228913428,0.39692956200070917,0.10267857142857142
214,313 days 00:00:00.000000000,310.58386327088857,17.623389664615846,15.969461661404807,0.39745837340096507,0.10267857142857142
1497,313 days 00:00:00.000000000,311.5127754641513,17.649724515248142,15.999319677607,0.3980346237109905,0.10267857142857142
853,313 days 00:00:00.000000000,312.38776750203095,17.674494830179192,16.037657537862156,0.3988576313890308,0.10267857142857142
538,314 days 00:00:00.000000000,313.1106172557303,17.694931965275547,16.072055094782797,0.39961287927143324,0.09821428571428571
215,314 days 00:00:00.000000000,312.12603735188685,17.66708910239281,16.044060669862095,0.3987984312489599,0.09821428571428571
1176,314 days 00:00:00.000000000,315.3376757547967,17.7577497379256,16.124553491286772,0.40092592588646625,0.09821428571428571
854,314 days 00:00:00.000000000,315.94907763630727,17.77495647354185,16.146695408527144,0.40126674880471064,0.09821428571428571
